"Year","Afghanistan","Angola","Albania","UnitedArabEmirates","Argentina","Armenia","Australia","Austria","Azerbaijan","Burundi","Belgium","Benin","BurkinaFaso","Bangladesh","Bulgaria","Bahrain","BosniaandHerzegovina","Belarus","Bolivia(PlurinationalStateof)","Brazil","Barbados","Botswana","CentralAfricanRepublic","Canada","Switzerland","Chile","China","Côted'Ivoire","Cameroon","D.R.oftheCongo","Congo","Colombia","Comoros","CaboVerde","CostaRica","Czechoslovakia","Cuba","Cyprus","CzechRepublic","Germany","Djibouti","Dominica","Denmark","DominicanRepublic","Algeria","Ecuador","Egypt","Spain","Estonia","Ethiopia","Finland","France","Gabon","UnitedKingdom","Georgia","Ghana","Guinea","Gambia","Guinea-Bissau","EquatorialGuinea","Greece","Guatemala","ChinaHongKongSAR","Honduras","Croatia","Haiti","Hungary","Indonesia","India","Ireland","Iran(IslamicRepublicof)","Iraq","Iceland","Israel","Italy","Jamaica","Jordan","Japan","Kazakhstan","Kenya","Kyrgyzstan","Cambodia","RepublicofKorea","Kuwait","LaoPeople'sDR","Lebanon","Liberia","Libya","SaintLucia","SriLanka","Lesotho","Lithuania","Luxembourg","Latvia","Morocco","RepublicofMoldova","Madagascar","Mexico","TFYRofMacedonia","Mali","Malta","Myanmar","Montenegro","Mongolia","Mozambique","Mauritania","Mauritius","Malawi","Malaysia","Namibia","Niger","Nigeria","Nicaragua","Netherlands","Norway","Nepal","NewZealand","Oman","Pakistan","Panama","Peru","Philippines","Poland","PuertoRico","D.P.R.ofKorea","Portugal","Paraguay","StateofPalestine","Qatar","Romania","RussianFederation","Rwanda","SaudiArabia","Sudan(Former)","Senegal","Singapore","SierraLeone","ElSalvador","Serbia","SaoTomeandPrincipe","FormerUSSR","Slovakia","Slovenia","Sweden","Swaziland","Seychelles","SyrianArabRepublic","Chad","Togo","Thailand","Tajikistan","Turkmenistan","TrinidadandTobago","Tunisia","Turkey","TaiwanProvinceofChina","U.R.ofTanzania:Mainland","Uganda","Ukraine","Uruguay","UnitedStates","Uzbekistan","Venezuela(BolivarianRepublicof)","VietNam","Yemen","FormerYugoslavia","SouthAfrica","Zambia","Zimbabwe"
"1390","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1881","","1554","","","","","","","","","","","","","","","","","","","","","2573","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2266","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1482","","","","","","","","","","","","","","","","","","","","","","","","",""
"1391","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1881","","1743","","","","","","","","","","","","","","","","","","","","","2596","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2169","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1494","","","","","","","","","","","","","","","","","","","","","","","","",""
"1392","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1881","","1967","","","","","","","","","","","","","","","","","","","","","2488","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2228","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1506","","","","","","","","","","","","","","","","","","","","","","","","",""
"1393","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1863","","1630","","","","","","","","","","","","","","","","","","","","","2711","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2283","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1519","","","","","","","","","","","","","","","","","","","","","","","","",""
"1394","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1863","","1795","","","","","","","","","","","","","","","","","","","","","3034","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2203","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1533","","","","","","","","","","","","","","","","","","","","","","","","",""
"1395","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1358","","","","1846","","1723","","","","","","","","","","","","","","","","","","","","","2942","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2189","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1545","","","","","","","","","","","","","","","","","","","","","","","","",""
"1396","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1881","","1738","","","","","","","","","","","","","","","","","","","","","2849","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2067","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1564","","","","","","","","","","","","","","","","","","","","","","","","",""
"1397","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1863","","1705","","","","","","","","","","","","","","","","","","","","","2826","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1978","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1524","","","","","","","","","","","","","","","","","","","","","","","","",""
"1398","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1863","","1830","","","","","","","","","","","","","","","","","","","","","2765","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2138","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1537","","","","","","","","","","","","","","","","","","","","","","","","",""
"1399","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1846","","1762","","","","","","","","","","","","","","","","","","","","","2803","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2018","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1548","","","","","","","","","","","","","","","","","","","","","","","","",""
"1400","","","","","","","","","","","","","","","","","","","","","","","","","","","1404","","","","","","","","","","","","","","","","","","","","1164","","","","","1795","","1717","","","","","","","","","","","","","","","","","","","","","3087","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1917","","","","","","","","","956","","","","","","","","","","","","","","","","","","","","","1543","","","","","","","","","","","","","","","","","","","","","","","","",""
"1401","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1779","","1696","","","","","","","","","","","","","","","","","","","","","3118","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1944","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1540","","","","","","","","","","","","","","","","","","","","","","","","",""
"1402","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1761","","1742","","","","","","","","","","","","","","","","","","","","","3026","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1881","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1537","","","","","","","","","","","","","","","","","","","","","","","","",""
"1403","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1745","","1770","","","","","","","","","","","","","","","","","","","","","3326","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1957","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1530","","","","","","","","","","","","","","","","","","","","","","","","",""
"1404","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1376","","","","1728","","1801","","","","","","","","","","","","","","","","","","","","","3241","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2168","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1524","","","","","","","","","","","","","","","","","","","","","","","","",""
"1405","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1745","","1805","","","","","","","","","","","","","","","","","","","","","2934","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2044","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1514","","","","","","","","","","","","","","","","","","","","","","","","",""
"1406","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1745","","1674","","","","","","","","","","","","","","","","","","","","","2995","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2079","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1510","","","","","","","","","","","","","","","","","","","","","","","","",""
"1407","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1761","","1677","","","","","","","","","","","","","","","","","","","","","2895","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1508","","","","","","","","","","","","","","","","","","","","","","","","",""
"1408","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1761","","1552","","","","","","","","","","","","","","","","","","","","","2857","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2059","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1503","","","","","","","","","","","","","","","","","","","","","","","","",""
"1409","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1761","","1607","","","","","","","","","","","","","","","","","","","","","2880","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1898","","","","","","","","","894","","","","","","","","","","","","","","","","","","","","","1498","","","","","","","","","","","","","","","","","","","","","","","","",""
"1410","","","","","","","","","","","","","","","","","","","","","","","","","","","1414","","","","","","","","","","","","","","","","","","","","","","","","","1761","","1708","","","","","","","","","","","","","","","","","","","","","3149","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1966","","","","","","","","","896","","","","","","","","","","","","","","","","","","","","","1498","","","","","","","","","","","","","","","","","","","","","","","","",""
"1411","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1761","","1673","","","","","","","","","","","","","","","","","","","","","2842","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2063","","","","","","","","","897","","","","","","","","","","","","","","","","","","","","","1500","","","","","","","","","","","","","","","","","","","","","","","","",""
"1412","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1745","","1635","","","","","","","","","","","","","","","","","","","","","2665","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1951","","","","","","","","","899","","","","","","","","","","","","","","","","","","","","","1503","","","","","","","","","","","","","","","","","","","","","","","","",""
"1413","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1745","","1483","","","","","","","","","","","","","","","","","","","","","3694","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1862","","","","","","","","","899","","","","","","","","","","","","","","","","","","","","","1511","","","","","","","","","","","","","","","","","","","","","","","","",""
"1414","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1745","","1686","","","","","","","","","","","","","","","","","","","","","3425","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2099","","","","","","","","","902","","","","","","","","","","","","","","","","","","","","","1519","","","","","","","","","","","","","","","","","","","","","","","","",""
"1415","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1376","","","","1745","","1726","","","","","","","","","","","","","","","","","","","","","3118","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1932","","","","","","","","","928","","","","","","","","","","","","","","","","","","","","","1517","","","","","","","","","","","","","","","","","","","","","","","","",""
"1416","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1745","","1665","","","","","","","","","","","","","","","","","","","","","2857","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1890","","","","","","","","","939","","","","","","","","","","","","","","","","","","","","","1524","","","","","","","","","","","","","","","","","","","","","","","","",""
"1417","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1728","","1821","","","","","","","","","","","","","","","","","","","","","2957","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1900","","","","","","","","","948","","","","","","","","","","","","","","","","","","","","","1618","","","","","","","","","","","","","","","","","","","","","","","","",""
"1418","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1728","","1729","","","","","","","","","","","","","","","","","","","","","3272","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1913","","","","","","","","","960","","","","","","","","","","","","","","","","","","","","","1358","","","","","","","","","","","","","","","","","","","","","","","","",""
"1419","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1728","","1821","","","","","","","","","","","","","","","","","","","","","3141","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1914","","","","","","","","","969","","","","","","","","","","","","","","","","","","","","","1390","","","","","","","","","","","","","","","","","","","","","","","","",""
"1420","","","","","","","","","","","","","","","","","","","","","","","","","","","1412","","","","","","","","","","","","","","","","","","","","","","","","","1728","","1778","","","","","","","","","","","","","","","","","","","","","2934","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1924","","","","","","","","","980","","","","","","","","","","","","","","","","","","","","","1360","","","","","","","","","","","","","","","","","","","","","","","","",""
"1421","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1728","","1661","","","","","","","","","","","","","","","","","","","","","3187","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1824","","","","","","","","","988","","","","","","","","","","","","","","","","","","","","","1363","","","","","","","","","","","","","","","","","","","","","","","","",""
"1422","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1745","","1716","","","","","","","","","","","","","","","","","","","","","3548","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1898","","","","","","","","","998","","","","","","","","","","","","","","","","","","","","","1393","","","","","","","","","","","","","","","","","","","","","","","","",""
"1423","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1745","","1812","","","","","","","","","","","","","","","","","","","","","3441","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1921","","","","","","","","","1007","","","","","","","","","","","","","","","","","","","","","1452","","","","","","","","","","","","","","","","","","","","","","","","",""
"1424","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1745","","1827","","","","","","","","","","","","","","","","","","","","","3602","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2072","","","","","","","","","1020","","","","","","","","","","","","","","","","","","","","","1361","","","","","","","","","","","","","","","","","","","","","","","","",""
"1425","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1376","","","","1745","","1765","","","","","","","","","","","","","","","","","","","","","3318","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1917","","","","","","","","","1030","","","","","","","","","","","","","","","","","","","","","1525","","","","","","","","","","","","","","","","","","","","","","","","",""
"1426","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1761","","1712","","","","","","","","","","","","","","","","","","","","","3241","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2094","","","","","","","","","1019","","","","","","","","","","","","","","","","","","","","","1454","","","","","","","","","","","","","","","","","","","","","","","","",""
"1427","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1745","","1668","","","","","","","","","","","","","","","","","","","","","3287","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2267","","","","","","","","","1020","","","","","","","","","","","","","","","","","","","","","1443","","","","","","","","","","","","","","","","","","","","","","","","",""
"1428","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1761","","1567","","","","","","","","","","","","","","","","","","","","","3648","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1881","","","","","","","","","1022","","","","","","","","","","","","","","","","","","","","","1415","","","","","","","","","","","","","","","","","","","","","","","","",""
"1429","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1761","","1622","","","","","","","","","","","","","","","","","","","","","3633","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1909","","","","","","","","","1020","","","","","","","","","","","","","","","","","","","","","1441","","","","","","","","","","","","","","","","","","","","","","","","",""
"1430","","","","","","","","","","","","","","","","","","","","","","","","","","","1498","","","","","","","","","","","","","","","","","","","","","","","","","1761","","1669","","","","","","","","","","","","","","","","","","","","","3433","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1914","","","","","","","","","1019","","","","","","","","","","","","","","","","","","","","","1486","","","","","","","","","","","","","","","","","","","","","","","","",""
"1431","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1779","","1681","","","","","","","","","","","","","","","","","","","","","3011","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1955","","","","","","","","","1017","","","","","","","","","","","","","","","","","","","","","1376","","","","","","","","","","","","","","","","","","","","","","","","",""
"1432","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1779","","1664","","","","","","","","","","","","","","","","","","","","","2849","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2229","","","","","","","","","1014","","","","","","","","","","","","","","","","","","","","","1352","","","","","","","","","","","","","","","","","","","","","","","","",""
"1433","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1779","","1717","","","","","","","","","","","","","","","","","","","","","3256","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2166","","","","","","","","","1009","","","","","","","","","","","","","","","","","","","","","1328","","","","","","","","","","","","","","","","","","","","","","","","",""
"1434","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1779","","1823","","","","","","","","","","","","","","","","","","","","","3326","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2240","","","","","","","","","1006","","","","","","","","","","","","","","","","","","","","","1326","","","","","","","","","","","","","","","","","","","","","","","","",""
"1435","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1412","","","","1779","","1623","","","","","","","","","","","","","","","","","","","","","3272","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2320","","","","","","","","","996","","","","","","","","","","","","","","","","","","","","","1242","","","","","","","","","","","","","","","","","","","","","","","","",""
"1436","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1779","","1515","","","","","","","","","","","","","","","","","","","","","3087","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2135","","","","","","","","","990","","","","","","","","","","","","","","","","","","","","","1208","","","","","","","","","","","","","","","","","","","","","","","","",""
"1437","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1795","","1457","","","","","","","","","","","","","","","","","","","","","3287","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2177","","","","","","","","","980","","","","","","","","","","","","","","","","","","","","","1211","","","","","","","","","","","","","","","","","","","","","","","","",""
"1438","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1795","","1533","","","","","","","","","","","","","","","","","","","","","3280","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2134","","","","","","","","","969","","","","","","","","","","","","","","","","","","","","","1272","","","","","","","","","","","","","","","","","","","","","","","","",""
"1439","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1795","","1605","","","","","","","","","","","","","","","","","","","","","2980","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1982","","","","","","","","","958","","","","","","","","","","","","","","","","","","","","","1272","","","","","","","","","","","","","","","","","","","","","","","","",""
"1440","","","","","","","","","","","","","","","","","","","","","","","","","","","1458","","","","","","","","","","","","","","","","","","","","","","","","","1795","","1623","","","","","","","","","","","","","","","","","","","","","2980","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2081","","","","","","","","","948","","","","","","","","","","","","","","","","","","","","","1248","","","","","","","","","","","","","","","","","","","","","","","","",""
"1441","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1795","","1438","","","","","","","","","","","","","","","","","","","","","2965","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2131","","","","","","","","","940","","","","","","","","","","","","","","","","","","","","","1278","","","","","","","","","","","","","","","","","","","","","","","","",""
"1442","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1795","","1492","","","","","","","","","","","","","","","","","","","","","2742","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1996","","","","","","","","","931","","","","","","","","","","","","","","","","","","","","","1307","","","","","","","","","","","","","","","","","","","","","","","","",""
"1443","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1812","","1808","","","","","","","","","","","","","","","","","","","","","3287","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2142","","","","","","","","","925","","","","","","","","","","","","","","","","","","","","","1299","","","","","","","","","","","","","","","","","","","","","","","","",""
"1444","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1812","","1810","","","","","","","","","","","","","","","","","","","","","3111","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2281","","","","","","","","","920","","","","","","","","","","","","","","","","","","","","","1339","","","","","","","","","","","","","","","","","","","","","","","","",""
"1445","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1358","","","","1812","","1564","","","","","","","","","","","","","","","","","","","","","3287","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2151","","","","","","","","","913","","","","","","","","","","","","","","","","","","","","","1337","","","","","","","","","","","","","","","","","","","","","","","","",""
"1446","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1812","","1667","","","","","","","","","","","","","","","","","","","","","3195","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2159","","","","","","","","","909","","","","","","","","","","","","","","","","","","","","","1317","","","","","","","","","","","","","","","","","","","","","","","","",""
"1447","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1830","","1711","","","","","","","","","","","","","","","","","","","","","3610","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2114","","","","","","","","","905","","","","","","","","","","","","","","","","","","","","","1213","","","","","","","","","","","","","","","","","","","","","","","","",""
"1448","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1812","","1772","","","","","","","","","","","","","","","","","","","","","3487","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2160","","","","","","","","","904","","","","","","","","","","","","","","","","","","","","","1173","","","","","","","","","","","","","","","","","","","","","","","","",""
"1449","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1812","","1629","","","","","","","","","","","","","","","","","","","","","3495","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2179","","","","","","","","","905","","","","","","","","","","","","","","","","","","","","","1631","","","","","","","","","","","","","","","","","","","","","","","","",""
"1450","","","","","","","","","","","","","","","","","","","","","","","","","","","1375","","","","","","","","","","","","","","","","","","","","","","","","","1812","","1683","","","","","","","","","","","","","","","","","","","","","3218","","","867","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2201","","","","","","","","","905","","","","","","","","","","","","","","","","","","","","","1557","","","","","","","","","","","781","","","","","","","","","","","","","",""
"1451","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1812","","1685","","","","","","","","","","","","","","","","","","","","","3210","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2392","","","","","","","","","907","","","","","","","","","","","","","","","","","","","","","1388","","","","","","","","","","","","","","","","","","","","","","","","",""
"1452","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1795","","1663","","","","","","","","","","","","","","","","","","","","","3326","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2276","","","","","","","","","907","","","","","","","","","","","","","","","","","","","","","1425","","","","","","","","","","","","","","","","","","","","","","","","",""
"1453","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1812","","1676","","","","","","","","","","","","","","","","","","","","","3326","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2367","","","","","","","","","909","","","","","","","","","","","","","","","","","","","","","1356","","","","","","","","","","","","","","","","","","","","","","","","",""
"1454","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1795","","1677","","","","","","","","","","","","","","","","","","","","","3249","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2421","","","","","","","","","910","","","","","","","","","","","","","","","","","","","","","1207","","","","","","","","","","","","","","","","","","","","","","","","",""
"1455","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1394","","","","1795","","1663","","","","","","","","","","","","","","","","","","","","","3080","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2295","","","","","","","","","910","","","","","","","","","","","","","","","","","","","","","1436","","","","","","","","","","","","","","","","","","","","","","","","",""
"1456","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1779","","1680","","","","","","","","","","","","","","","","","","","","","2926","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2250","","","","","","","","","901","","","","","","","","","","","","","","","","","","","","","2184","","","","","","","","","","","","","","","","","","","","","","","","",""
"1457","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1779","","1536","","","","","","","","","","","","","","","","","","","","","2903","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2209","","","","","","","","","889","","","","","","","","","","","","","","","","","","","","","2158","","","","","","","","","","","","","","","","","","","","","","","","",""
"1458","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1761","","1625","","","","","","","","","","","","","","","","","","","","","3318","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2249","","","","","","","","","878","","","","","","","","","","","","","","","","","","","","","1765","","","","","","","","","","","","","","","","","","","","","","","","",""
